Cellid,X,Y,W,H,cX,cY,Aera
7080,4217,3313,1,1,4217,3313,1
7081,4222,3312,1,2,4222,3312.5,2
7082,4315,3312,1,1,4315,3312,1
7083,4585,3313,1,1,4585,3313,1
7084,6829,3312,1,1,6829,3312,1
7085,8295,3313,1,1,8295,3313,1
7086,8300,3313,1,1,8300,3313,1
7087,10277,3313,1,1,10277,3313,1
7088,10626,3312,1,2,10626,3312.5,2
7089,10660,3313,1,1,10660,3313,1
7090,15565,3313,1,1,15565,3313,1
7091,2905,3314,1,1,2905,3314,1
7092,4214,3314,7,6,4216.777778,3316.388889,18
7093,4232,3315,1,2,4232,3315.5,2
7094,4578,3315,2,2,4578.5,3315.5,2
