,Cellid,X,Y,W,H,cX,cY,Aera
22594,22594,6699,9160,1,1,6699.0,9160.0,1
22595,22595,8300,9161,1,1,8300.0,9161.0,1
22596,22596,8340,9160,1,1,8340.0,9160.0,1
22597,22597,10638,9160,1,1,10638.0,9160.0,1
22598,22598,5782,9162,1,1,5782.0,9162.0,1
22599,22599,6502,9162,2,2,6502.5,9162.5,2
22600,22600,6506,9162,2,2,6506.5,9162.5,4
22601,22601,6529,9162,1,1,6529.0,9162.0,1
22602,22602,6535,9162,1,1,6535.0,9162.0,1
22603,22603,8344,9163,1,1,8344.0,9163.0,1
22604,22604,8351,9162,1,1,8351.0,9162.0,1
22605,22605,11811,9163,1,1,11811.0,9163.0,1
22606,22606,11814,9163,1,1,11814.0,9163.0,1
22607,22607,11927,9163,1,1,11927.0,9163.0,1
22608,22608,5443,9165,1,1,5443.0,9165.0,1
22609,22609,5448,9165,1,1,5448.0,9165.0,1
22610,22610,5451,9165,1,1,5451.0,9165.0,1
22611,22611,5744,9164,1,1,5744.0,9164.0,1
22612,22612,5747,9165,1,1,5747.0,9165.0,1
22613,22613,6489,9164,2,1,6489.5,9164.0,2
22614,22614,6500,9165,1,1,6500.0,9165.0,1
